# <E>	<m>	crossover points
50.3333	24.2222	7 11 16 22 27 36 252 
65.2222	52.4403	30 36 43 50 64 81 125 
77.5556	70.2393	51 62 115 128 210 246 255 
55.1111	63.5697	69 96 125 147 152 169 175 
72.3333	63.5536	67 74 94 112 121 235 256 
74.0000	57.3946	6 121 129 189 199 251 258 
73.1111	65.3626	15 24 70 89 98 157 176 
87.7778	64.5778	84 112 206 231 238 245 252 
71.6667	70.2315	36 44 70 97 179 189 256 
64.1111	47.7778	9 163 169 184 224 236 254 
74.7778	68.0710	67 148 192 198 234 240 250 
86.4444	72.9383	14 68 87 104 135 176 226 
72.3333	51.5556	8 16 57 96 249 255 259 
65.3333	45.5556	7 11 19 26 42 79 102 
68.7778	51.9983	19 24 32 55 60 79 123 
82.2222	61.1085	96 181 228 245 251 255 260 
66.0000	57.0043	22 55 72 78 84 128 258 
73.8889	45.7778	30 66 233 241 247 253 258 
74.5556	67.9128	22 57 69 170 177 183 252 
55.2222	22.4444	5 13 230 241 249 254 259 
71.7778	46.6667	6 30 53 59 70 74 104 
64.0000	66.4309	71 94 101 112 135 181 191 
78.6667	63.3999	16 24 47 53 80 115 233 
78.1111	67.1613	9 17 23 30 101 183 240 
60.0000	54.8272	50 75 84 90 99 127 133 
85.2222	69.5456	10 34 97 180 187 198 221 
89.3333	67.4496	5 29 49 74 186 206 249 
82.1111	66.5408	5 11 26 58 159 223 230 
76.3333	71.3908	34 51 104 149 224 233 257 
79.8889	67.3454	17 66 71 172 235 246 259 
73.7778	51.9991	80 234 239 246 251 255 259 
79.4444	65.0721	16 22 27 92 102 113 206 
75.8889	65.4928	6 13 31 50 84 146 176 
70.1111	60.9485	9 14 27 37 115 239 255 
49.1111	56.4489	11 17 23 29 42 50 140 
76.4444	67.9683	6 21 27 39 123 198 228 
76.0000	73.6039	5 36 64 127 159 195 227 
64.3333	35.1111	183 198 207 220 238 249 257 
66.4444	41.5556	7 14 34 42 60 88 92 
74.0000	59.3317	103 166 175 181 199 240 255 
63.2222	51.9956	129 168 173 234 239 244 253 
69.3333	68.2686	29 38 113 146 180 254 259 
77.4444	64.7506	25 55 170 176 183 199 240 
72.5556	44.8889	5 11 57 66 235 249 256 
57.6667	26.8889	205 229 233 239 244 251 259 
80.2222	69.1349	68 112 176 225 232 246 255 
65.0000	49.5556	135 161 173 180 190 246 251 
70.4444	69.1474	9 39 63 75 84 116 191 
63.3333	51.7714	34 181 189 205 233 240 256 
63.5556	67.5668	28 35 39 47 125 186 205 
67.3333	47.3333	30 187 232 240 246 253 257 
59.4444	36.6667	13 19 26 30 39 70 79 
57.2222	30.0000	11 17 32 43 55 61 65 
69.6667	59.6103	7 53 97 112 240 249 256 
84.7778	70.5594	62 84 90 115 159 218 259 
69.3333	45.7778	30 37 43 73 87 96 260 
73.1111	61.4095	37 51 57 64 188 240 258 
67.1111	57.9921	13 24 91 97 102 117 147 
76.2222	53.3283	5 31 52 60 81 102 128 
78.2222	63.2695	28 43 84 117 236 241 260 
77.7778	62.9695	5 10 58 64 180 244 253 
75.2222	64.6885	9 16 27 34 110 210 218 
80.0000	69.7529	33 44 87 110 195 253 259 
77.4444	68.4411	17 30 43 60 66 146 232 
71.1111	69.0434	5 11 34 42 103 150 198 
76.7778	68.4316	70 80 91 127 176 190 209 
81.3333	65.9467	81 133 147 161 180 196 252 
76.5556	67.0916	74 87 91 157 189 235 240 
70.5556	57.4871	9 125 159 172 210 238 245 
71.4444	62.8508	51 55 170 232 249 253 258 
66.6667	47.1111	148 166 176 180 189 194 229 
67.1111	39.1111	11 186 199 228 233 253 259 
80.5556	67.9361	19 97 104 140 198 236 256 
77.1111	69.5976	31 57 103 148 161 241 258 
80.0000	55.0918	9 17 23 42 75 225 245 
67.5556	35.3333	7 15 31 43 60 64 74 
89.4444	70.8069	17 30 79 123 206 249 254 
80.6667	70.2195	8 37 104 183 195 209 249 
80.0000	63.2708	72 81 199 210 223 241 253 
73.0000	65.5508	7 22 50 58 68 122 232 
73.6667	71.1527	22 38 47 57 113 149 218 
70.6667	62.1317	10 28 78 91 96 123 164 
72.5556	69.4220	24 33 43 65 134 224 231 
80.3333	65.8613	79 94 98 133 188 249 256 
63.4444	39.3333	7 15 24 34 43 51 230 
65.8889	56.7622	7 16 135 149 163 177 210 
62.8889	36.6667	8 16 23 29 37 72 79 
65.5556	42.4444	166 199 214 220 225 249 259 
79.6667	65.1318	81 89 98 113 123 195 243 
68.6667	47.7778	8 161 175 181 220 228 256 
53.6667	63.8131	26 31 37 140 161 168 190 
56.3333	30.0000	5 9 16 31 47 52 65 
68.7778	59.9982	5 9 16 79 89 94 163 
75.3333	56.9849	65 71 75 220 235 253 259 
56.6667	46.2222	5 10 38 44 53 97 103 
67.2222	63.2404	32 37 43 54 62 70 179 
50.3333	28.4444	10 16 25 29 36 243 257 
78.3333	66.9300	59 92 122 128 229 234 247 
77.6667	56.5574	64 81 226 230 235 245 260 
76.1111	54.6389	7 43 50 58 196 232 253 
# Finished in 82.31 seconds (100 libraries, 656100 chimeras)
